set,image,method,condition,lam,fold,IoU,Dice,Precision,Recall,Accuracy
Horizontal,028.jpg,LDA,BC,0.3719778795901283,0,0.029239766081871343,0.056818181818181816,0.7142857142857143,0.029585798816568046,0.99493408203125
Horizontal,030.jpg,LDA,BC,2.4200951184383714,0,0.004362050163576881,0.008686210640608035,0.004362123347426347,0.9961685823754789,0.0944671630859375
Horizontal,031.jpg,LDA,BC,0.955952953394874,0,0.036450423085267955,0.07033703160979694,0.037416481069042315,0.5853658536585366,0.9322357177734375
Horizontal,023.jpg,QDA,BC,1.9234880090090036,0,0.026508855390611565,0.05164856640330551,0.02653623271558896,0.9625390218522373,0.4816741943359375
Horizontal,024.jpg,QDA,BC,2.2910108026470906,0,0.01712709544988026,0.03367739494208413,0.01713698893904709,0.967391304347826,0.2985992431640625
Horizontal,028.jpg,QDA,BC,0.3719778795901283,0,0.017699115044247787,0.034782608695652174,0.8571428571428571,0.01775147928994083,0.9949188232421875
Horizontal,030.jpg,QDA,BC,2.4200951184383714,0,0.004569073642716359,0.009096584321769375,0.004569564905741524,0.9770114942528736,0.1522979736328125
Horizontal,031.jpg,QDA,BC,0.955952953394874,0,0.06848072562358276,0.12818336162988114,0.07298211696471725,0.5261324041811847,0.968658447265625
Horizontal,025.jpg,SVM,noBC,,1,0.014377682403433477,0.02834778929553628,0.014443546213958502,0.7592067988668555,0.71966552734375
Horizontal,026.jpg,SVM,noBC,,1,0.01836693950888401,0.03607135855714566,0.018494940695570596,0.7263157894736842,0.7749176025390625
Horizontal,027.jpg,SVM,noBC,,1,0.024281022987361928,0.047410861750704365,0.02448815736651947,0.7416413373860182,0.8503875732421875
Horizontal,029.jpg,SVM,noBC,,1,0.03108026554013277,0.06028680128767925,0.03135464231354642,0.7803030303030303,0.8530120849609375
Horizontal,037.jpg,SVM,noBC,,1,0.022560181489728187,0.044124897288414136,0.022648671446646985,0.8523809523809524,0.644989013671875
Horizontal,025.jpg,LightGBM,noBC,,1,0.013678047769545619,0.02698696652185024,0.013741411617738912,0.7478753541076487,0.7095184326171875
Horizontal,026.jpg,LightGBM,noBC,,1,0.01658644087455779,0.0326316389982315,0.01667735728030789,0.7526315789473684,0.7412567138671875
Horizontal,027.jpg,LightGBM,noBC,,1,0.01630816814283706,0.03209295891547932,0.01642012881307948,0.7051671732522796,0.786468505859375
Horizontal,029.jpg,LightGBM,noBC,,1,0.022037779049799658,0.04312517502100252,0.02217741935483871,0.7777777777777778,0.79144287109375
Horizontal,037.jpg,LightGBM,noBC,,1,0.021230993206082176,0.04157921831069576,0.021321528652073266,0.8333333333333334,0.6306915283203125
Horizontal,025.jpg,KNN,noBC,,1,0.011756745326905184,0.02324026082594884,0.011794153833099995,0.7875354107648725,0.6434326171875
Horizontal,026.jpg,KNN,noBC,,1,0.014099886061526776,0.027807686906043724,0.014155664648968114,0.781578947368421,0.6831207275390625
Horizontal,027.jpg,KNN,noBC,,1,0.011815408454796377,0.023354869586025364,0.011864241952737529,0.7416413373860182,0.6886138916015625
Horizontal,029.jpg,KNN,noBC,,1,0.016790854343166274,0.033027154544998244,0.016848466226250833,0.8308080808080808,0.7060394287109375
Horizontal,037.jpg,KNN,noBC,,1,0.0186172958463815,0.036554054054054055,0.018674490852606144,0.8587301587301587,0.564849853515625
Horizontal,025.jpg,LDA,noBC,,1,0.01223021582733813,0.024164889836531627,0.01226343036578121,0.8186968838526912,0.6438446044921875
Horizontal,026.jpg,LDA,noBC,,1,0.014938353711566993,0.029436967589092193,0.015005909861760624,0.7684210526315789,0.7061920166015625
Horizontal,027.jpg,LDA,noBC,,1,0.01674219536757301,0.0329330196855268,0.016808846761453396,0.8085106382978723,0.761627197265625
Horizontal,029.jpg,LDA,noBC,,1,0.022097254383063182,0.04323904459835588,0.022188268119311766,0.8434343434343434,0.7744598388671875
Horizontal,037.jpg,LDA,noBC,,1,0.01977340743907653,0.03878000209621633,0.019826385167720503,0.8809523809523809,0.5801849365234375
Horizontal,025.jpg,QDA,noBC,,1,0.017118777982617857,0.033661315380631794,0.017224246439218285,0.7365439093484419,0.772216796875
Horizontal,026.jpg,QDA,noBC,,1,0.022710194539534108,0.044411788717446325,0.022916842193950626,0.7157894736842105,0.8213958740234375
Horizontal,027.jpg,QDA,noBC,,1,0.03353310502283105,0.06489023885130471,0.03398900781024009,0.7142857142857143,0.8966522216796875
Horizontal,029.jpg,QDA,noBC,,1,0.040198922503108164,0.07729083665338646,0.0407905803195963,0.7348484848484849,0.89398193359375
Horizontal,037.jpg,QDA,noBC,,1,0.024913396289090305,0.048615612556718216,0.025038153376573828,0.8333333333333334,0.68646240234375
Horizontal,025.jpg,SVM,BC,0.7489506756402784,1,0.0702247191011236,0.13123359580052493,0.8928571428571429,0.0708215297450425,0.9949493408203125
Horizontal,026.jpg,SVM,BC,1.1578028034358894,1,0.24486803519061584,0.3934040047114252,0.35607675906183367,0.4394736842105263,0.9921417236328125
Horizontal,027.jpg,SVM,BC,0.5707311921903575,1,0.03625377643504532,0.06997084548104957,0.8571428571428571,0.0364741641337386,0.9951324462890625
Horizontal,029.jpg,SVM,BC,0.6800065572792487,1,0.03007518796992481,0.058394160583941604,0.8,0.030303030303030304,0.9940948486328125
Horizontal,037.jpg,SVM,BC,1.151115696635073,1,0.29064039408866993,0.45038167938931295,0.5645933014354066,0.3746031746031746,0.9912109375
Horizontal,025.jpg,LightGBM,BC,0.7489506756402784,1,0.005890742233521424,0.01171248921218099,0.005986514588190812,0.26912181303116145,0.75537109375
Horizontal,026.jpg,LightGBM,BC,1.1578028034358894,1,0.013061128434429605,0.025785469539462223,0.013183680741136647,0.5842105263157895,0.7440338134765625
Horizontal,027.jpg,LightGBM,BC,0.5707311921903575,1,0.006178861788617886,0.012281835811247576,0.0062743544019549565,0.2887537993920973,0.766845703125
Horizontal,029.jpg,LightGBM,BC,0.6800065572792487,1,0.0071297873682882205,0.014158626738503946,0.007259411537967365,0.28535353535353536,0.7598876953125
Horizontal,037.jpg,LightGBM,BC,1.151115696635073,1,0.02246234446627374,0.04393774418753603,0.022892611626510045,0.5444444444444444,0.7722320556640625
Horizontal,025.jpg,KNN,BC,0.7489506756402784,1,0.006619173164301341,0.01315129562552243,0.0067075943610732155,0.3342776203966006,0.7297821044921875
Horizontal,026.jpg,KNN,BC,1.1578028034358894,1,0.011715819241645987,0.02316029663434113,0.01183673469387755,0.5342105263157895,0.73870849609375
Horizontal,027.jpg,KNN,BC,0.5707311921903575,1,0.00471776655381029,0.009391227488675285,0.004782535306363586,0.25835866261398177,0.72637939453125
Horizontal,029.jpg,KNN,BC,0.6800065572792487,1,0.006773072619117733,0.013455013455013456,0.006887052341597796,0.2904040404040404,0.74267578125
Horizontal,037.jpg,KNN,BC,1.151115696635073,1,0.018971455256552448,0.03723648029330889,0.019315345298942112,0.5158730158730159,0.743560791015625
Horizontal,025.jpg,LDA,BC,0.7489506756402784,1,0.2644230769230769,0.41825095057034223,0.6358381502890174,0.311614730878187,0.995330810546875
Horizontal,026.jpg,LDA,BC,1.1578028034358894,1,0.013659466327827191,0.02695079912253212,0.01370861228765314,0.7921052631578948,0.6683502197265625
Horizontal,027.jpg,LDA,BC,0.5707311921903575,1,0.17955801104972377,0.3044496487119438,0.6632653061224489,0.19756838905775076,0.9954681396484375
Horizontal,029.jpg,LDA,BC,0.6800065572792487,1,0.19954128440366972,0.3326959847036329,0.6850393700787402,0.2196969696969697,0.9946746826171875
Horizontal,037.jpg,LDA,BC,1.151115696635073,1,0.03233303711805318,0.06264070983975632,0.03268380320619126,0.7507936507936508,0.78399658203125
Horizontal,025.jpg,QDA,BC,0.7489506756402784,1,0.2,0.3333333333333333,0.7731958762886598,0.21246458923512748,0.99542236328125
Horizontal,026.jpg,QDA,BC,1.1578028034358894,1,0.02305990469707284,0.045080262829576646,0.02327578802714077,0.7131578947368421,0.8248138427734375
Horizontal,027.jpg,QDA,BC,0.5707311921903575,1,0.11176470588235295,0.20105820105820105,0.7755102040816326,0.11550151975683891,0.995391845703125
Horizontal,029.jpg,QDA,BC,0.6800065572792487,1,0.11057692307692307,0.19913419913419914,0.696969696969697,0.11616161616161616,0.994354248046875
Horizontal,037.jpg,QDA,BC,1.151115696635073,1,0.0839456691160098,0.15488907148726377,0.08895705521472393,0.5984126984126984,0.937225341796875
Left,011.jpg,SVM,noBC,,0,0.0054942224816716175,0.010928401891979578,0.0054942224816716175,1.0,0.1161651611328125
Left,020.jpg,SVM,noBC,,0,0.0988491574188245,0.17991397045072002,0.10293173550181896,0.7136498516320475,0.9330902099609375
Left,036.jpg,SVM,noBC,,0,0.052248598353811286,0.09930846842761591,0.0532911546416839,0.7275747508305648,0.8787689208984375
